compound,temperature,conductivity,log_cond,log_Ionic_Conductivity,Ionic_Conductivity,residue,ic_sqr,Predicted_log_IC,Predicted_IC_S_cm
Li6.6 La3.0Zr2.0Ge0.1O12,300,0.00028,-3.552841968657781,-3.582228202,0.000179638,0.037156231,0.031663446,-3.6555351939101106,0.00022103691274186478
Li6.85 La3.0Zr2.0Al0.05O12,300,9.9e-05,-4.00436480540245,-3.961666964,0.000194513,0.086032948,0.074846334,-4.305270348889503,4.95141868381109e-05
Li6.8 La3.0Zr2.0Ge0.05O12,300,2.91e-05,-4.536107011014093,-4.138354933,0.000170435,0.589309495,0.64854479,-4.995875937909172,1.009541233992925e-05
Li6.85 La3.09Zr2.07O12,300,0.000168,-3.774690718274137,-3.748197588,3.26e-06,2.930114038,0.00192778,-4.119585039699923,7.593027281734494e-05
Li6.0 La3.0Zr1.0Ta1.0O12,300,0.0001715,-3.832974279826554,-3.965843844,0.00017085,0.1215386255,0.0719208335,-4.062628505109732,8.657081276610785e-05
Li6.1 La3.0Zr2.0Ga0.3O12,300,0.00112,-2.9507819773298185,-3.018813713,0.000117695,0.957382384,0.608403506,-2.8818357130748393,0.0013126963779649856
Li6.24 La3.0Zr2.0Al0.3O12,300,8.78e-05,-4.056505484093897,-3.688358759,0.000220989,0.160700905,0.106094339,-4.360626375941667,4.3588670627884114e-05
Li6.25 La3.0Zr2.0Al0.25O12,300,0.00026,-3.5850266520291822,-3.59510852,0.000240671,0.069176946,0.051903361,-3.1480293919231963,0.0007111653821976129
Li6.25 La3.0Zr2.0Ga0.25O12,300,0.0011,-2.958607314841775,-3.208589878,0.000265978,0.380129947,0.59625718,-2.8588276475019763,0.00138411556496238
Li6.28 La3.0Zr2.0Al0.24O12,300,0.00023,-3.712845436354721,-3.7298189600000002,0.000222602,0.07220984550000001,0.068886541,-3.8986080071196425,0.00012629669704393708
Li6.4 La3.0Zr1.4Ta0.6O12,300,0.000255,-3.5955570663200938,-3.81312971,0.0001595,0.0085806205,0.0201109635,-4.621221805532325,2.3920937396381727e-05
Li6.4 La3.0Zr2.0Al0.2O12,300,0.000115,-3.939302159646388,-3.905324549,0.000180189,0.038036452,0.043479729,-4.193152603354293,6.409843065281412e-05
