compound,temperature,conductivity,log_cond,log_Ionic_Conductivity,Ionic_Conductivity,residue,ic_sqr
Li6.55 La3.0Zr2.0Ga0.15O12,300,0.0012,-2.920818754,-2.961362057,0.000232134,0.508999266,0.656044064
Li6.4 La3.0Zr2.0Ge0.15O12,300,8.05e-05,-4.09420412,-4.303094762,0.000228708,0.205649765,0.13207402
Li7.42 La3.0Zr1.97Al0.14O12,300,0.000189,-3.723538196,-3.808630432,0.000156229,0.00683923,5.25e-05
Li6.61 La3.0Zr2.0Al0.13O12,300,0.000135,-3.869666232,-3.719936398,0.000170112,0.010080314,0.019288212
Li6.91 La3.0Zr1.98Al0.13O12,300,0.000208,-3.681936665,-3.64418456,0.000184262,0.002769546,0.002386084
Li6.7 La3.0Zr2.0Al0.1O12,300,0.000141,-3.850780887,-3.976658429,0.000201393,0.023970839,0.014399199
Li6.7 La3.0Zr2.0Ga0.1O12,300,2.5e-05,-4.602059991,-3.95779545,0.000211267,0.859130019,0.759121461
Li6.7 La3.0Zr2.0Ga0.1O12,300,6e-05,-4.22184875,-4.407844366,0.000211267,0.298860583,0.241144368
Li6.6 La3.0Zr2.0Ge0.1O12,300,0.00028,-3.552841969,-3.582228202,0.000179638,0.037156231,0.031663446
Li6.85 La3.0Zr2.0Al0.05O12,300,9.9e-05,-4.004364805,-3.961666964,0.000194513,0.086032948,0.074846334
Li6.8 La3.0Zr2.0Ge0.05O12,300,2.91e-05,-4.536107011,-4.138354933,0.000170435,0.589309495,0.64854479
Li7.0 La3.0Zr2.0O12,300,0.00024,-3.619788758,-3.865999358,3.09e-06,3.572697769,0.012319994
Li7.0 La3.0Zr2.0O12,300,0.000774,-3.111259039,-3.175356295,3.09e-06,5.753703413,0.383811456
Li7.0 La3.0Zr2.0O12,300,0.000187,-3.728158393,-4.143539828,3.09e-06,3.174770252,6.89e-06
Li7.0 La3.0Zr2.0O12,300,2.6e-05,-4.585026652,-4.746669185,3.09e-06,0.855477449,0.729730125
Li7.0 La3.0Zr2.0O12,300,0.0001,-4.0,-4.099344751,3.09e-06,2.279939614,0.072477134
Li6.85 La3.09Zr2.07O12,300,0.000168,-3.774690718,-3.748197588,3.26e-06,2.930114038,0.00192778
Li7.0 La3.0Zr2.0O12,300,7.83e-06,-5.106238238,-4.625967232,3.09e-06,0.162980677,1.891873743
